date,region,category,product,channel,segment,units,unit_price,revenue
2025-01-02,North,Apparel,Backpack,Retail,Consumer,5,65.44,327.2
2025-01-02,East,Apparel,Backpack,Retail,Consumer,7,61.98,433.86
2025-01-03,West,Electronics,Monitor,Online,Business,5,302.46,1512.3
2025-01-06,East,Electronics,Headphones,Retail,Consumer,6,146.01,876.06
2025-01-07,East,Grocery,Tea,Online,Consumer,11,11.86,130.46
2025-01-12,West,Grocery,Olive Oil,Online,Business,6,21.23,127.38
2025-01-13,East,Grocery,Olive Oil,Online,Consumer,10,21.21,212.1
2025-01-14,South,Apparel,Backpack,Retail,Consumer,5,63.18,315.9
2025-01-19,South,Apparel,T-Shirt,Online,Business,3,24.28,72.84
2025-01-19,North,Apparel,Jacket,Retail,Consumer,1,113.46,113.46
2025-01-20,West,Home,Vacuum,Retail,Consumer,4,239.22,956.88
2025-01-20,West,Home,Cookware,Retail,Consumer,11,119.91,1319.01
2025-01-21,West,Home,Vacuum,Retail,Consumer,6,259.99,1559.94
2025-01-23,West,Electronics,Headphones,Retail,Consumer,3,172.09,516.27
2025-01-24,West,Apparel,Sneakers,Retail,Business,8,87.94,703.52
2025-01-24,South,Electronics,Headphones,Online,Consumer,5,155.75,778.75
2025-01-24,South,Electronics,Laptop,Retail,Consumer,5,1202.66,6013.3
2025-01-26,North,Apparel,Sneakers,Online,Consumer,9,104.85,943.65
2025-01-26,West,Grocery,Olive Oil,Retail,Consumer,6,18.95,113.7
2025-01-27,North,Home,Lamp,Online,Consumer,11,36.09,396.99
2025-01-27,West,Apparel,T-Shirt,Online,Consumer,4,22.77,91.08
2025-01-28,South,Apparel,Sneakers,Online,Consumer,5,88.11,440.55
2025-01-29,North,Apparel,Sneakers,Retail,Business,9,93.07,837.63
2025-01-30,South,Apparel,Jacket,Retail,Business,6,109.57,657.42
2025-02-01,East,Home,Cookware,Online,Consumer,5,114.78,573.9
2025-02-02,North,Grocery,Coffee,Retail,Consumer,11,16.19,178.09
2025-02-03,South,Electronics,Laptop,Online,Business,6,1323.8,7942.8
2025-02-03,South,Grocery,Olive Oil,Online,Business,3,22.14,66.42
2025-02-04,North,Electronics,Laptop,Online,Business,9,1156.04,10404.36
2025-02-05,West,Home,Vacuum,Retail,Business,5,235.32,1176.6
2025-02-06,East,Apparel,Backpack,Online,Consumer,11,65.99,725.89
2025-02-08,West,Home,Blender,Retail,Consumer,6,87.94,527.64
2025-02-10,North,Apparel,Sneakers,Retail,Consumer,11,99.56,1095.16
2025-02-10,South,Grocery,Olive Oil,Retail,Consumer,3,22.14,66.42
2025-02-13,West,Electronics,Monitor,Online,Business,6,294.68,1768.08
2025-02-14,West,Apparel,T-Shirt,Retail,Consumer,6,24.31,145.86
2025-02-14,North,Grocery,Tea,Online,Business,8,13.31,106.48
2025-02-16,South,Electronics,Laptop,Online,Consumer,3,1310.5,3931.5
2025-02-16,West,Grocery,Coffee,Online,Consumer,5,14.77,73.85
2025-02-19,South,Apparel,T-Shirt,Retail,Business,1,24.87,24.87
2025-02-20,West,Home,Vacuum,Online,Consumer,5,227.74,1138.7
2025-02-25,North,Home,Cookware,Online,Consumer,2,106.95,213.9
2025-02-26,North,Grocery,Olive Oil,Online,Consumer,7,18.92,132.44
2025-02-28,South,Electronics,Phone,Online,Business,5,797.12,3985.6
2025-02-28,East,Home,Lamp,Online,Business,5,35.92,179.6
2025-03-03,West,Home,Blender,Online,Consumer,3,98.97,296.91
2025-03-04,South,Grocery,Olive Oil,Retail,Business,3,21.06,63.18
2025-03-05,South,Apparel,Backpack,Retail,Business,5,54.38,271.9
2025-03-06,South,Electronics,Phone,Online,Consumer,5,769.97,3849.85
2025-03-07,East,Electronics,Monitor,Online,Consumer,5,286.76,1433.8
2025-03-08,East,Home,Blender,Retail,Consumer,5,81.33,406.65
2025-03-08,East,Apparel,Jacket,Online,Business,8,120.46,963.68
2025-03-11,West,Apparel,Backpack,Online,Business,8,56.27,450.16
2025-03-11,South,Apparel,Backpack,Online,Business,4,65.26,261.04
2025-03-11,East,Grocery,Olive Oil,Retail,Consumer,6,22.35,134.1
2025-03-12,North,Home,Cookware,Retail,Business,4,130.68,522.72
2025-03-15,North,Apparel,Backpack,Online,Consumer,9,62.24,560.16
2025-03-22,South,Apparel,Sneakers,Online,Consumer,2,94.63,189.26
2025-03-22,North,Apparel,T-Shirt,Retail,Consumer,2,24.06,48.12
2025-03-23,South,Grocery,Tea,Retail,Consumer,6,12.17,73.02
2025-03-24,South,Home,Lamp,Retail,Consumer,3,38.84,116.52
2025-03-28,East,Apparel,T-Shirt,Online,Business,6,23.25,139.5
2025-03-29,West,Grocery,Olive Oil,Online,Business,5,20.0,100.0
2025-03-31,North,Home,Lamp,Online,Business,8,43.85,350.8
2025-04-03,North,Electronics,Monitor,Online,Consumer,12,328.31,3939.72
2025-04-06,South,Grocery,Coffee,Online,Consumer,3,14.71,44.13
2025-04-09,North,Grocery,Tea,Online,Consumer,7,10.88,76.16
2025-04-12,North,Home,Blender,Online,Consumer,4,81.01,324.04
2025-04-15,East,Apparel,Sneakers,Online,Consumer,5,97.81,489.05
2025-04-18,South,Apparel,Backpack,Online,Consumer,1,66.35,66.35
2025-04-19,East,Apparel,T-Shirt,Online,Consumer,6,26.35,158.1
2025-04-21,West,Home,Lamp,Retail,Business,4,45.84,183.36
2025-04-24,North,Home,Cookware,Online,Business,6,120.75,724.5
2025-04-26,East,Electronics,Laptop,Online,Business,8,1076.86,8614.88
2025-04-26,North,Home,Cookware,Retail,Consumer,11,137.03,1507.33
2025-04-28,West,Electronics,Headphones,Online,Business,8,147.03,1176.24
2025-04-28,North,Apparel,Sneakers,Online,Business,7,101.59,711.13
2025-05-01,West,Electronics,Headphones,Online,Business,5,144.0,720.0
2025-05-02,East,Electronics,Phone,Online,Consumer,6,710.73,4264.38
2025-05-04,North,Apparel,Jacket,Online,Consumer,9,119.56,1076.04
2025-05-09,East,Home,Blender,Retail,Consumer,5,87.95,439.75
2025-05-12,North,Home,Blender,Online,Business,7,89.36,625.52
2025-05-16,North,Apparel,Jacket,Retail,Consumer,7,103.34,723.38
2025-05-16,South,Apparel,Jacket,Online,Consumer,4,116.6,466.4
2025-05-16,North,Grocery,Olive Oil,Retail,Consumer,7,21.03,147.21
2025-05-18,North,Apparel,Sneakers,Retail,Consumer,8,107.22,857.76
2025-05-19,West,Home,Lamp,Retail,Business,5,39.15,195.75
2025-05-19,West,Apparel,Sneakers,Online,Business,5,103.79,518.95
2025-05-20,South,Grocery,Tea,Online,Consumer,2,11.95,23.9
2025-05-21,North,Grocery,Tea,Retail,Business,8,11.66,93.28
2025-05-23,North,Grocery,Tea,Retail,Consumer,11,12.03,132.33
2025-05-27,South,Grocery,Snacks,Online,Consumer,7,7.1,49.7
2025-05-28,North,Electronics,Laptop,Retail,Consumer,10,1301.61,13016.1
2025-05-29,West,Home,Blender,Online,Consumer,6,86.32,517.92
2025-05-29,East,Apparel,Backpack,Online,Business,4,58.29,233.16
2025-05-30,South,Apparel,Sneakers,Online,Consumer,3,91.24,273.72
2025-06-02,East,Home,Cookware,Online,Consumer,6,131.93,791.58
2025-06-03,West,Home,Lamp,Online,Consumer,6,42.58,255.48
